Ime Konfederacija,Predsjednik Konfederacije,Regija,Godina osnutka Konfederacije,Ime članice,Predsjednik članice,Godina osnutka članice,Godina pristupanja članice,Ime Kluba,Godina osnutka Kluba,Stadion,Trener
OFC,Lambert Maltock,Oceanija,1966,Novi Zeland,Johanna Wood,1891,1948,Miramar Rangers,1907,Farrington Park,Scott Hales
CONCACAF,Victor Montagliani,Sjeverna Amerika,1961,Kanada,Nick Bontis,1912,1948,CF Montréal,1992,Saputo Stadium,Wilfried Nancy
CONCACAF,Victor Montagliani,Sjeverna Amerika,1961,SAD,Cindy Parlow Cone,1913,1914,Chicago Fire FC,1997,Soldier Field,Ezra Hendrickson
CONMEBOL,Alejandro Domínguez,Južna Amerika,1916,Argentina,Claudio Tapia,1893,1912,Boca Juniors,1905,La Bombonera,Hugo Ibarra
CONMEBOL,Alejandro Domínguez,Južna Amerika,1916,Brazil,Ednaldo Rodrigues,1914,1923,Santos FC,1912,Vila Belmiro,Orlando Ribeiro
CONMEBOL,Alejandro Domínguez,Južna Amerika,1916,Kolumbija,Ramón Jesurún,1924,1936,América de Cali,1927,Estadio Olímpico Pascual Guerrero,Alexandre Guimarães
AFC,Salman bin Ibrahim Al Khalifa,Azija,1954,Iran,Mehdi Taj,1920,1948,Persepolis F.C.,1963,Azadi Stadium,Yahya Golmohammadi
AFC,Salman bin Ibrahim Al Khalifa,Azija,1954,Japan,Kozo Tashima,1921,1929,Kawasaki Frontale,1955,Kawasaki Todoroki Stadium,Yoshihiro Warashina
CAF,Patrice Mostepe,Afrika,1957,Alžir,Djahid Zefizaf,1962,1963,CR Belouizdad,1962,20 August 1955 Stadium,Nabil Kouki
CAF,Patrice Mostepe,Afrika,1957,Egipat,Gamal Allam,1921,1923,Zamalek SC,1911,Cairo International Stadium,Jesualdo Ferreira
CAF,Patrice Mostepe,Afrika,1957,Maroko,Fouzi Lekjaa,1956,1960,Wydad AC,1937,Stade Mohammed V,Hussein Ammouta
UEFA,Aleksander_Čeferin,Europa,1954,Njemačka,Bernd Neuendorf,1900,1909,Borussia Dortmund,1909,Signal Iduna Park,Edin Terzić
UEFA,Aleksander_Čeferin,Europa,1954,Njemačka,Bernd Neuendorf,1900,1909,Eintracht Frankfurt,1899,Deutsche Bank Park,Oliver Glasner
UEFA,Aleksander_Čeferin,Europa,1954,Španjolska,Luis Rubiales,1909,1914,Villarreal CF,1923,Ciutat de València,Unai Emery
UEFA,Aleksander_Čeferin,Europa,1954,Španjolska,Luis Rubiales,1909,1914,Sevilla FC,1890,Estadio Ramón Sánchez Pizjuán,Jorge Sampaoli
UEFA,Aleksander_Čeferin,Europa,1954,Hrvatska,Marijan Kustić,1912,1941,NK Osijek,1947,Stadion Gradski vrt,Rene Poms
UEFA,Aleksander_Čeferin,Europa,1954,Hrvatska,Marijan Kustić,1912,1941,HNK Gorica,2009,Gradski stadion Velika Gorica,Igor Angelovski
CONCACAF,Victor Montagliani,Sjeverna Amerika,1961,SAD,Cindy Parlow Cone,1913,1914,Sporting Kansas City,1995,Childrens Mercy Park,Peter Vermes
